full_name,count
Zhang Y.,3360
Liu Yang,2579
Wang Y.,2538
Wang J.,2325
Wang Z.,2147
Li Y.,2141
Wang Wei,2131
Taniguchi Takashi,1930
Zhang Lei,1898
Liu Y.,1886
Watanabe Kenji,1877
Gao Y.,1790
Liu X.,1757
Zhang Wei,1717
Li C.,1679
Zhang J.,1616
Zhang Yu,1579
Zhang L.,1578
Xu Z.,1562
Sun L.,1532
Wang Xin,1501
Chen Wei,1493
Liang H.,1421
Wang M.,1415
CMS Collaboration ,1414
Li Lei,1406
Yang Z.,1371
Liu Feng,1358
Wilkinson G.,1342
ATLAS Collaboration ,1341
Wang X.,1340
Malde S.,1306
Wang Hao,1299
Li Yang,1295
Li Wei,1294
Liu Wei,1289
Zhang Yang,1286
Zhang S.,1281
Smith M.,1274
Li X.,1268
Wang Yi,1265
Yang Y.,1260
Krokovny P.,1257
Zhang Rui,1241
Xie Y.,1223
Li Bo,1216
Zhang Z. Y.,1209
Li Hui,1190
Wang Meng,1186
Li Cheng,1186
