cat,count
cs.LG,245072
hep-ph,192359
hep-th,178501
cs.CV,176352
quant-ph,171454
cs.AI,154507
gr-qc,118175
astro-ph,105380
cond-mat.mtrl-sci,104748
cond-mat.mes-hall,98692
cs.CL,98356
math.MP,87247
math-ph,87247
cond-mat.str-el,80558
cond-mat.stat-mech,79321
math.CO,75083
astro-ph.CO,74749
stat.ML,74703
astro-ph.GA,74221
math.AP,70820
astro-ph.SR,67213
astro-ph.HE,66183
math.PR,63207
nucl-th,61184
hep-ex,58588
math.OC,58123
math.AG,57702
physics.optics,53727
cs.IT,52294
math.IT,52294
cs.RO,47637
math.NT,47084
math.DG,46311
cond-mat.supr-con,46255
math.NA,45380
cs.CR,44316
cond-mat.soft,43814
cs.SY,42198
math.DS,41278
eess.SP,37167
math.FA,34731
astro-ph.IM,34042
eess.SY,33987
astro-ph.EP,33523
stat.ME,33267
physics.flu-dyn,32487
cs.NA,31916
hep-lat,29728
eess.IV,29655
math.RT,29099
