id,title,num_authors
2507.06261,"Gemini 2.5: Pushing the Frontier with Advanced Reasoning, Multimodality, Long Context, and Next Generation Agentic Capabilities",3435
1411.4413,"Observation of the rare $B^0_s\to\mu^+\mu^-$ decay from the combined
  analysis of CMS and LHCb data",2832
0901.0512,"Expected Performance of the ATLAS Experiment - Detector, Trigger and
  Physics",2612
1406.6311,The Physics of the B Factories,2034
1710.05839,"Search for High-energy Neutrinos from Binary Neutron Star Merger
  GW170817 with ANTARES, IceCube, and the Pierre Auger Observatory",1941
2407.12867,"Swift-BAT GUANO follow-up of gravitational-wave triggers in the third
  LIGO-Virgo-KAGRA observing run",1822
2501.01495,Search for continuous gravitational waves from known pulsars in the first part of the fourth LIGO-Virgo-KAGRA observing run,1819
2508.18081,GWTC-4.0: Methods for Identifying and Characterizing Gravitational-wave Transients,1812
2508.18080,GWTC-4.0: An Introduction to Version 4.0 of the Gravitational-Wave Transient Catalog,1811
2508.18083,GWTC-4.0: Population Properties of Merging Compact Binaries,1808
2403.03004,Ultralight vector dark matter search using data from the KAGRA O3GK run,1803
2404.04248,"Observation of Gravitational Waves from the Coalescence of a
  $2.5\text{-}4.5~M_\odot$ Compact Object and a Neutron Star",1796
2509.08054,GW250114: testing Hawking's area law and the Kerr nature of black holes,1788
2510.26931,"GW241011 and GW241110: Exploring Binary Formation and Fundamental Physics with Asymmetric, High-Spin Black Hole Coalescence",1786
2410.09151,A search using GEO600 for gravitational waves coincident with fast radio bursts from SGR 1935+2154,1783
2410.16565,Search for gravitational waves emitted from SN 2023ixf,1783
2508.20721,"Upper Limits on the Isotropic Gravitational-Wave Background from the first part of LIGO, Virgo, and KAGRA's fourth Observing Run",1776
2308.03822,"Search for Eccentric Black Hole Coalescences during the Third Observing
  Run of LIGO and Virgo",1775
2507.12282,All-sky search for long-duration gravitational-wave transients in the first part of the fourth LIGO-Virgo-KAGRA Observing run,1775
2509.04348,GWTC-4.0: Constraints on the Cosmic Expansion Rate and Modified Gravitational-wave Propagation,1775
2507.08219,GW231123: a Binary Black Hole Merger with Total Mass 190-265 $M_{\odot}$,1774
2508.18082,GWTC-4.0: Updating the Gravitational-Wave Transient Catalog with Observations from the First Part of the Fourth LIGO-Virgo-KAGRA Observing Run,1773
2510.26848,Cosmological and High Energy Physics implications from gravitational-wave background searches in LIGO-Virgo-KAGRA's O1-O4a runs,1772
2509.07352,Directed searches for gravitational waves from ultralight vector boson clouds around merger remnant and galactic black holes during the first part of the fourth LIGO-Virgo-KAGRA observing run,1772
2508.18079,"Open Data from LIGO, Virgo, and KAGRA through the First Part of the Fourth Observing Run",1771
2510.27022,Direct multi-model dark-matter search with gravitational-wave interferometers using data from the first part of the fourth LIGO-Virgo-KAGRA observing run,1770
2510.17487,Directional Search for Persistent Gravitational Waves: Results from the First Part of LIGO-Virgo-KAGRA's Fourth Observing Run,1768
2511.16863,All-sky search for continuous gravitational-wave signals from unknown neutron stars in binary systems in the first part of the fourth LIGO-Virgo-KAGRA observing run,1768
2511.19911,Search for planetary-mass ultra-compact binaries using data from the first part of the LIGO--Virgo--KAGRA fourth observing run,1768
2302.03676,"Open data from the third observing run of LIGO, Virgo, KAGRA and GEO",1744
2212.01477,"Search for subsolar-mass black hole binaries in the second part of
  Advanced LIGO's and Advanced Virgo's third observing run",1705
2308.13666,"A Joint Fermi-GBM and Swift-BAT Analysis of Gravitational-Wave
  Candidates from the Third Gravitational-wave Observing Run",1699
2111.13106,"Searches for Gravitational Waves from Known Pulsars at Two Harmonics in
  the Second and Third LIGO-Virgo Observing Runs",1697
2304.08393,"Search for gravitational-lensing signatures in the full third observing
  run of the LIGO-Virgo network",1695
2209.02863,"Model-based cross-correlation search for gravitational waves from the
  low-mass X-ray binary Scorpius X-1 in LIGO O3 data",1695
2112.06861,Tests of General Relativity with GWTC-3,1685
2111.03604,Constraints on the cosmic expansion history from GWTC-3,1679
2201.10104,"Search for gravitational waves from Scorpius X-1 with a hidden Markov
  model in O3 LIGO data",1672
2111.15507,"All-sky search for gravitational wave emission from scalar boson clouds
  around spinning black holes in LIGO O3 data",1672
2203.01270,"First joint observation by the underground gravitational-wave detector,
  KAGRA, with GEO600",1672
2210.10931,"Search for gravitational-wave transients associated with magnetar bursts
  in Advanced LIGO and Advanced Virgo data from the third observing run",1670
2201.00697,"All-sky search for continuous gravitational waves from isolated neutron
  stars using Advanced LIGO and Advanced Virgo O3 data",1670
2204.04523,"Search for continuous gravitational wave emission from the Milky Way
  center in O3 LIGO--Virgo data",1670
2111.03606,"GWTC-3: Compact Binary Coalescences Observed by LIGO and Virgo During
  the Second Part of the Third Observing Run",1662
2112.10990,"Narrowband searches for continuous and long-duration transient
  gravitational waves from known pulsars in the LIGO-Virgo third observing run",1661
2203.12038,"Search for Gravitational Waves Associated with Fast Radio Bursts
  Detected by CHIME/FRB During the LIGO--Virgo Observing Run O3a",1657
2109.09255,"Search for continuous gravitational waves from 20 accreting millisecond
  X-ray pulsars in O3 LIGO data",1637
2109.12197,"Search for subsolar-mass binaries in the first half of Advanced LIGO and
  Virgo's third observing run",1637
2111.03634,"The population of merging compact binaries inferred using gravitational
  waves through GWTC-3",1637
2111.03608,"Search for Gravitational Waves Associated with Gamma-Ray Bursts Detected
  by Fermi and Swift During the LIGO-Virgo Run O3b",1635
