query,method_1,method_2,overlap@20
economy_abstract.csv,tfidf,bm25,0.2
economy_abstract.csv,tfidf,bm25_specter,0.1
economy_abstract.csv,tfidf,minilm,0.15
economy_abstract.csv,tfidf,faiss_specter,0.0
economy_abstract.csv,bm25,bm25_specter,0.3
economy_abstract.csv,bm25,minilm,0.3
economy_abstract.csv,bm25,faiss_specter,0.15
economy_abstract.csv,bm25_specter,minilm,0.3
economy_abstract.csv,bm25_specter,faiss_specter,0.2
economy_abstract.csv,minilm,faiss_specter,0.2
gnn_citations.csv,tfidf,bm25,0.0
gnn_citations.csv,tfidf,bm25_specter,0.0
gnn_citations.csv,tfidf,minilm,0.0
gnn_citations.csv,tfidf,faiss_specter,0.0
gnn_citations.csv,bm25,bm25_specter,0.1
gnn_citations.csv,bm25,minilm,0.35
gnn_citations.csv,bm25,faiss_specter,0.1
gnn_citations.csv,bm25_specter,minilm,0.25
gnn_citations.csv,bm25_specter,faiss_specter,0.5
gnn_citations.csv,minilm,faiss_specter,0.2
language_models.csv,tfidf,bm25,0.0
language_models.csv,tfidf,bm25_specter,0.05
language_models.csv,tfidf,minilm,0.1
language_models.csv,tfidf,faiss_specter,0.0
language_models.csv,bm25,bm25_specter,0.0
language_models.csv,bm25,minilm,0.0
language_models.csv,bm25,faiss_specter,0.0
language_models.csv,bm25_specter,minilm,0.05
language_models.csv,bm25_specter,faiss_specter,0.2
language_models.csv,minilm,faiss_specter,0.1
neutrino_title.csv,tfidf,bm25,0.1
neutrino_title.csv,tfidf,bm25_specter,0.15
neutrino_title.csv,tfidf,minilm,0.0
neutrino_title.csv,tfidf,faiss_specter,0.05
neutrino_title.csv,bm25,bm25_specter,0.0
neutrino_title.csv,bm25,minilm,0.0
neutrino_title.csv,bm25,faiss_specter,0.0
neutrino_title.csv,bm25_specter,minilm,0.05
neutrino_title.csv,bm25_specter,faiss_specter,0.05
neutrino_title.csv,minilm,faiss_specter,0.05
optimization.csv,tfidf,bm25,0.5
optimization.csv,tfidf,bm25_specter,0.2
optimization.csv,tfidf,minilm,0.2
optimization.csv,tfidf,faiss_specter,0.1
optimization.csv,bm25,bm25_specter,0.0
optimization.csv,bm25,minilm,0.15
optimization.csv,bm25,faiss_specter,0.0
optimization.csv,bm25_specter,minilm,0.1
optimization.csv,bm25_specter,faiss_specter,0.6
optimization.csv,minilm,faiss_specter,0.1
quantum_field.csv,tfidf,bm25,0.25
quantum_field.csv,tfidf,bm25_specter,0.1
quantum_field.csv,tfidf,minilm,0.15
quantum_field.csv,tfidf,faiss_specter,0.0
quantum_field.csv,bm25,bm25_specter,0.05
quantum_field.csv,bm25,minilm,0.2
quantum_field.csv,bm25,faiss_specter,0.0
quantum_field.csv,bm25_specter,minilm,0.15
quantum_field.csv,bm25_specter,faiss_specter,0.25
quantum_field.csv,minilm,faiss_specter,0.05
similar_to_1810.04805.csv,tfidf,bm25,0.25
similar_to_1810.04805.csv,tfidf,bm25_specter,0.05
similar_to_1810.04805.csv,tfidf,minilm,0.3
similar_to_1810.04805.csv,tfidf,faiss_specter,0.05
similar_to_1810.04805.csv,bm25,bm25_specter,0.15
similar_to_1810.04805.csv,bm25,minilm,0.35
similar_to_1810.04805.csv,bm25,faiss_specter,0.15
similar_to_1810.04805.csv,bm25_specter,minilm,0.3
similar_to_1810.04805.csv,bm25_specter,faiss_specter,0.7
similar_to_1810.04805.csv,minilm,faiss_specter,0.25
